Date,Description,Debit,Credit,Amount,Category Type,Category
12/6/2023,SAT,37,0,-37,expenses,Taxes
13/06/23,BIMBONT *COMERCIO 047991,15,0,-15,expenses,Supermarket
13/06/23,PAGO CUENTA DE TERCERO,0,179,179,income,Other
14/06/23,SPEI ENVIADO SANTANDER,91,0,-91,expenses,Other
14/06/23,PAGO CUENTA DE TERCERO,0,100,100,income,Other
14/06/23,RETIRO CAJERO AUTOMATICO,100,0,-100,expenses,Banking Services
14/06/23,RETIRO CAJERO AUTOMATICO,100,0,-100,expenses,Banking Services
14/06/23,PAYPAL *UBER BV,100.85,0,-100.85,expenses,Transportation
15/06/23,SPEI RECIBIDOSANTANDER,0,568.31,568.31,income,Debts and Loans
15/06/23,PAGO CUENTA DE TERCERO,135,0,-135,expenses,Other
15/06/23,PAYPAL GOOGLE TINDER,89,0,-89,expenses,Other
15/06/23,PAYPAL *UBER BV,89.97,0,-89.97,expenses,Transportation
16/06/23,DPV TAME,24,0,-24,expenses,Other
16/06/23,PAYPAL *UBER BV,89.9,0,-89.9,expenses,Transportation
16/06/23,PAYPAL *UBER BV,49.95,0,-49.95,expenses,Transportation
19/06/23,PAGO VIDA SEG DINAMICO,295.13,0,-295.13,expenses,Insurance
19/06/23,SPEI RECIBIDOSANTANDER,0,1612.43,1612.43,income,Debts and Loans
19/06/23,RECARGAS Y PAQUETES BMOV,150,0,-150,expenses,Telecommunications
20/06/23,PAGO CUENTA DE TERCERO,150,0,-150,expenses,Other
20/06/23,SPEI ENVIADO NU MEXICO,170,0,-170,expenses,Transportation
20/06/23,PAYPAL *UBER BV,94.97,0,-94.97,expenses,Transportation
21/06/23,PAYPAL *UBER BV,46.96,0,-46.96,expenses,Transportation
21/06/23,PAYPAL *UBER BV,106.95,0,-106.95,expenses,Transportation
21/06/23,PAYPAL *UBER BV,49.96,0,-49.96,expenses,Transportation
23/06/23,PAGO CUENTA DE TERCERO,0,150,150,income,Other
23/06/23,SPEI RECIBIDOBANAMEX,0,365,365,income,Other
23/06/23,SPEI ENVIADO STP,1400,0,-1400,expenses,Transportation
26/06/23,PAYPAL *UBER BV,61.65,0,-61.65,expenses,Transportation
26/06/23,SPEI RECIBIDONAFIN,0,5000,5000,income,Other
27/06/23,PAGO CUENTA DE TERCERO,200,0,-200,expenses,Other
27/06/23,PAGO CUENTA DE TERCERO,0,350,350,income,Other
27/06/23,PAGO CUENTA DE TERCERO,0,180,180,income,Other
28/06/23,PAGO CUENTA DE TERCERO,0,420,420,income,Other
28/06/23,AMAZON PRIME,99,0,-99,expenses,Technology
28/06/23,CINEPOLIS DULCERIA,415,0,-415,expenses,Leisure and Entertainment
28/06/23,PAYPAL *UBER BV,43.78,0,-43.78,expenses,Transportation
28/06/23,OXXO CENTRAL DEABASTOS,129.9,0,-129.9,expenses,Supermarket
28/06/23,OXXO CENTRAL DEABASTOS,80,0,-80,expenses,Supermarket
29/06/23,PAYPAL *UBER BV,112.78,0,-112.78,expenses,Transportation
29/06/23,PH CAUCEL,321,0,-321,expenses,Other
30/06/23,PAGO CUENTA DE TERCERO,0,165,165,income,Other
30/06/23,SPEI RECIBIDOSANTANDER,0,200,200,income,Debts and Loans
1/7/2023,PAGO CUENTA DE TERCERO,600,0,-600,expenses,Other
3/7/2023,PAYPAL SPOTIFY,149,0,-149,expenses,Leisure and Entertainment
3/7/2023,PAYPAL *UBER BV,50.71,0,-50.71,expenses,Transportation
3/7/2023,STARBUCKS ALTABRISA,103,0,-103,expenses,Food
3/7/2023,PAYPAL *UBER BV,41.34,0,-41.34,expenses,Transportation
3/7/2023,CHEDRAUI MERIDA,248.82,0,-248.82,expenses,Supermarket
4/7/2023,PAGO CUENTA DE TERCERO,0,153,153,income,Other
4/7/2023,STARBUCKS CAUCEL DT,179,0,-179,expenses,Food
4/7/2023,STARBUCKS CAUCEL DT,208,0,-208,expenses,Food
5/7/2023,PAYPAL *UBER BV,111.47,0,-111.47,expenses,Transportation
5/7/2023,PAYPAL *UBER BV,55.4,0,-55.4,expenses,Transportation
6/7/2023,BIMBONT *COMERCIO 047991,20,0,-20,expenses,Supermarket
7/7/2023,OPENPAY*HELPHBOMAXCOM,179,0,-179,expenses,Technology
10/7/2023,TEF RECIBIDO BANK OF AMER,0,106.12,106.12,income,Other
10/7/2023,PAYPAL MELANIEESCO MELA,729.14,0,-729.14,expenses,Other
10/7/2023,OXXO CENTRAL DEABASTOS,54,0,-54,expenses,Supermarket
10/7/2023,PAMPAM SUSHI,574,0,-574,expenses,Food
11/7/2023,SPEI RECIBIDONAFIN,0,12000,12000,income,Other
11/7/2023,SPEI ENVIADO STP,2300,0,-2300,expenses,Transportation
11/7/2023,PAGO CUENTA DE TERCERO,0,215,215,income,Other
11/7/2023,BOSTONS DORADA,1191,0,-1191,expenses,Food
11/7/2023,PAGO CUENTA DE TERCERO,0,250,250,income,Other
12/7/2023,PAGO INTERBANCARIO TDC,6000,0,-6000,expenses,Banking Services
12/7/2023,VIT BONIF ANUAL,0,176.6,176.6,income,Insurance
12/7/2023,PAYPAL *UBER BV,106.14,0,-106.14,expenses,Transportation
13/07/23,PAGO CUENTA DE TERCERO,30,0,-30,expenses,Other
13/07/23,PAGO CUENTA DE TERCERO,310,0,-310,expenses,Other
13/07/23,SAT,497,0,-497,expenses,Taxes
13/07/23,PAYPAL *UBER BV,32.44,0,-32.44,expenses,Transportation
13/07/23,PAYPAL *UBERBV EATS,158.2,0,-158.2,expenses,Food
14/07/23,SPEI ENVIADO STP,650,0,-650,expenses,Transportation
14/07/23,PAGO CUENTA DE TERCERO,0,194,194,income,Other
14/07/23,EL GLOBO PZA ROYAL,50,0,-50,expenses,Food
14/07/23,OXXO DORADA,37.5,0,-37.5,expenses,Supermarket
17/07/23,PAGO VIDA SEG DINAMICO,295.13,0,-295.13,expenses,Insurance
17/07/23,PAGO CUENTA DE TERCERO,150,0,-150,expenses,Other
17/07/23,PAGO CUENTA DE TERCERO,600,0,-600,expenses,Other
17/07/23,PAYPAL *UBERBV EATS,230.3,0,-230.3,expenses,Food
17/07/23,EL GLOBO PZA ROYAL,50,0,-50,expenses,Food
17/07/23,EL GLOBO PZA ROYAL,65,0,-65,expenses,Food
17/07/23,TDAS CHEDRAUI MER III,67.9,0,-67.9,expenses,Supermarket
17/07/23,PAYPAL *UBERBV EATS,149,0,-149,expenses,Food
18/07/23,PAGO CUENTA DE TERCERO,0,600,600,income,Other
18/07/23,PAGO CUENTA DE TERCERO,0,1200,1200,income,Other
18/07/23,GM 6 PENSIONES,79,0,-79,expenses,Other
18/07/23,GM 6 PENSIONES,67,0,-67,expenses,Other
20/07/23,TELCEL 8MPS ECOM,279,0,-279,expenses,Telecommunications
24/07/23,PAYPAL *UBER BV,70,0,-70,expenses,Transportation
25/07/23,PAGO CUENTA DE TERCERO,0,200,200,income,Other
26/07/23,PAYPAL *UBER BV,66.59,0,-66.59,expenses,Transportation
28/08/23,PAYPAL *UBERBV EATS,138.2,0,-138.2,expenses,Food
28/08/23,CLIP MX*COPYMAR CENTRO,256,0,-256,expenses,Other
28/08/23,MERPAGO*MARKET TP,385,0,-385,expenses,Technology
